Category,Level1,Level2,Level3,Level4,Entity 1,,GovXFer,Entity 2,Entity 3,Total
First Lien Mortgages - Domestic,Assets,Real Estate Loans (in Domestic Offices),First Lien Mortgages,First Lien Mortgages,0,,0,0,0,0
First Lien HELOAN - Domestic,Assets,Real Estate Loans (in Domestic Offices),First Lien Mortgages,First Lien HELOAN,0.38,b,,,,0.38
Closed-End Junior Liens - Domestic,Assets,Real Estate Loans (in Domestic Offices),Second/ Junior Lien Mortgages,Closed-End Junior Liens,0.893,b,,,,0.893
HELOCs - Domestic,Assets,Real Estate Loans (in Domestic Offices),Second/ Junior Lien Mortgages,HELOCs,0.083,b,,,,0.083
Construction - Domestic,Assets,Real Estate Loans (in Domestic Offices),CRE Loans,Construction,1.561,b,,,,1.561
Multifamily - Domestic,Assets,Real Estate Loans (in Domestic Offices),CRE Loans,Multifamily,0.052,b,,,,0.052
"Nonfarm, Non-residential - Domestic",Assets,Real Estate Loans (in Domestic Offices),CRE Loans,"Nonfarm, Non-residential",0.105,b,,,,0.105
Loans Secured by Farmland - Domestic,Assets,Real Estate Loans (in Domestic Offices),CRE Loans,Loans Secured by Farmland,2.099,b,,,,2.099
First Lien Mortgages,Assets,Real Estate Loans (Not in Domestic Offices),First Lien Mortgages,First Lien Mortgages,2.075,b,,,,2.075
First Lien HELOAN,Assets,Real Estate Loans (Not in Domestic Offices),First Lien Mortgages,First Lien HELOAN,0.059,b,,,,0.059
Closed-End Junior Liens,Assets,Real Estate Loans (Not in Domestic Offices),Second/ Junior Lien Mortgages,Closed-End Junior Liens,0.146,b,,,,0.146
HELOCs,Assets,Real Estate Loans (Not in Domestic Offices),Second/ Junior Lien Mortgages,HELOCs,0.146,b,,,,0.146
Construction,Assets,Real Estate Loans (Not in Domestic Offices),CRE Loans,Construction,1.661,b,,,,1.661
Multifamily,Assets,Real Estate Loans (Not in Domestic Offices),CRE Loans,Multifamily,0.175,b,,,,0.175
"Nonfarm, Non-residential",Assets,Real Estate Loans (Not in Domestic Offices),CRE Loans,"Nonfarm, Non-residential",2.456,b,,,,2.456
Loans Secured by Farmland,Assets,Real Estate Loans (Not in Domestic Offices),CRE Loans,Loans Secured by Farmland,2.19,b,,,,2.19
Deposits in domestic offices,Liabilities,Deposits,Deposits in domestic offices,,2.629,b,,,,2.629
Deposits in foreign offices,Liabilities,Deposits,Deposits in foreign offices,,5.467,b,,,,5.467
Federal funds purchased and securities sold under agreements to repurchase,Liabilities,Federal funds purchased and securities sold under agreements to repurchase,,,4.317,b,,,,4.317
Trading Liabilities,Liabilities,Trading Liabilities,,,4.317,b,,,,4.317
Other Liabilities,Liabilities,Other Liabilities,,,4.317,b,,,,4.317
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
